Season,No.,Team,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
1976,4,CHI,Jerry Sloan,SG,6-5,195,"March 28, 1942",us,10,University of Evansville
1976,42,CHI,Nate Thurmond,C,6-11,225,"July 25, 1941",us,12,Bowling Green
1976,2,CHI,Norm Van Lier,PG,6-1,173,"April 1, 1947",us,6,Saint Francis University
1976,34,CHI,Bobby Wilson,SG,6-3,175,"January 15, 1951",us,1,Wichita State
1976,21,CLE,Butch Beard,PG,6-3,185,"May 4, 1947",us,5,Louisville
1976,52,CLE,Jim Brewer,PF,6-9,210,"December 3, 1951",us,2,Minnesota
1976,34,CLE,Austin Carr,SG,6-4,200,"March 10, 1948",us,4,Notre Dame
1976,22,CLE,Jim Chones,C,6-11,220,"November 30, 1949",us,3,Marquette
1976,35,CLE,Jim Cleamons,PG,6-3,185,"September 13, 1949",us,4,Ohio State
1976,41,CLE,Eric Fernsten,C,6-10,205,"November 1, 1953",us,R,San Francisco
1976,23,CLE,Rowland Garrett,SF,6-6,210,"July 16, 1950",us,3,Florida State
1976,24,CLE,John Lambert,PF,6-10,225,"January 14, 1953",us,R,USC
1976,50,CLE,Steve Patterson,C,6-9,225,"June 24, 1948",us,4,UCLA
1976,20,CLE,Campy Russell,SF,6-8,215,"January 12, 1952",us,1,Michigan
1976,7,CLE,Bingo Smith,SG,6-5,195,"February 26, 1946",us,6,Tulsa
1976,10,CLE,Dick Snyder,SG,6-5,207,"February 1, 1944",us,9,Davidson
1976,42,CLE,Nate Thurmond,C,6-11,225,"July 25, 1941",us,12,Bowling Green
1976,14,CLE,Foots Walker,PG,6-0,184,"May 21, 1951",us,1,"Vincennes University, West Georgia"
1976,44,CLE,Luke Witte,C,7-0,235,"October 19, 1950",us,2,Ohio State
1976,20,DET,Roger Brown,C,6-11,225,"February 23, 1950",us,2,Kansas
1976,11,DET,Archie Clark,SG,6-2,175,"July 15, 1941",us,9,Minnesota
1976,22,DET,Henry Dickerson,SG,6-4,190,"November 27, 1951",us,R,University of Charleston
1976,44,DET,Al Eberhard,SF,6-6,225,"May 10, 1952",us,1,Missouri
1976,42,DET,Chris Ford,SG,6-5,190,"January 11, 1949",us,3,Villanova
1976,45,DET,Lindsay Hairston,SF,6-7,180,"December 8, 1951",us,R,Michigan State
1976,9,DET,Wali Jones,PG,6-2,180,"February 14, 1942",us,10,Villanova
1976,16,DET,Bob Lanier,C,6-11,250,"September 10, 1948",us,5,St. Bonaventure
1976,15,DET,John Mengelt,SG,6-2,195,"October 16, 1949",us,4,Auburn
1976,14,DET,Eric Money,PG,6-0,170,"February 6, 1955",us,1,Arizona
1976,54,DET,Howard Porter,SF,6-8,220,"August 31, 1948",us,4,Villanova
1976,10,DET,Kevin Porter,PG,6-0,170,"April 17, 1950",us,3,Saint Francis University
1976,18,DET,Curtis Rowe,PF,6-7,225,"July 2, 1949",us,4,UCLA
1976,50,DET,Terry Thomas,PF,6-8,220,"August 20, 1953",us,R,Detroit Mercy
1976,31,DET,George Trapp,PF,6-8,205,"July 11, 1948",us,4,Cal State Long Beach
1976,55,DET,Earl Williams,C,6-7,230,"March 24, 1951",us,1,Winston-Salem State
1976,24,GSW,Rick Barry,SF,6-7,205,"March 28, 1944",us,9,Miami (FL)
1976,42,GSW,Dwight Davis,PF,6-8,220,"October 28, 1949",us,3,Houston
1976,40,GSW,Derrek Dickey,PF,6-7,218,"March 20, 1951",us,2,Cincinnati
1976,15,GSW,Charles Dudley,PG,6-2,180,"March 5, 1950",us,2,Washington
1976,12,GSW,Bubbles Hawkins,SG,6-4,190,"June 30, 1954",us,R,Illinois State
1976,10,GSW,Charles Johnson,PG,6-0,170,"March 31, 1949",us,3,California
1976,52,GSW,George Johnson,C,6-11,205,"December 18, 1948",us,3,Dillard University
1976,23,GSW,Jeff Mullins,SG,6-4,190,"March 18, 1942",us,11,Duke
1976,44,GSW,Clifford Ray,C,6-9,230,"January 21, 1949",us,4,Oklahoma
1976,20,GSW,Phil Smith,SG,6-4,185,"April 22, 1952",us,1,San Francisco
1976,41,GSW,Jamaal Wilkes,SF,6-6,190,"May 2, 1953",us,1,UCLA
1976,1,GSW,Gus Williams,PG,6-2,175,"October 10, 1953",us,R,USC
1976,22,HOU,Gus Bailey,SG,6-5,185,"February 18, 1951",us,1,Texas-El Paso
1976,10,HOU,Steve Hawes,C,6-9,220,"May 26, 1950",us,1,Washington
1976,34,HOU,John Johnson,SF,6-7,200,"October 18, 1947",us,5,Iowa
1976,20,HOU,Kevin Kunnert,C,7-0,230,"November 11, 1951",us,2,Iowa
1976,25,HOU,Cliff Meely,PF,6-8,215,"July 10, 1947",us,4,Colorado
1976,50,HOU,Joe Meriweather,C,6-10,215,"October 26, 1953",us,R,Southern Illinois
1976,23,HOU,Calvin Murphy,PG,5-9,165,"May 9, 1948",us,5,Niagara University
1976,14,HOU,Mike Newlin,SG,6-4,200,"January 2, 1949",us,4,Utah
1976,42,HOU,Ed Ratleff,SF,6-6,195,"March 29, 1950",us,2,Cal State Long Beach
1976,31,HOU,Ron Riley,PF,6-8,195,"November 11, 1950",us,3,USC
1976,45,HOU,Rudy Tomjanovich,PF,6-8,218,"November 24, 1948",us,5,Michigan
1976,32,HOU,Rudy White,SG,6-2,195,"June 23, 1953",us,R,Arizona State
1976,11,HOU,Dave Wohl,PG,6-2,185,"November 2, 1949",us,4,Penn
1976,33,LAL,Kareem Abdul-Jabbar,C,7-2,225,"April 16, 1947",us,6,UCLA
1976,42,LAL,Lucius Allen,PG,6-2,175,"September 26, 1947",us,6,UCLA
1976,10,LAL,Corky Calhoun,SF,6-7,210,"November 1, 1950",us,3,Penn
1976,35,LAL,Don Ford,SF,6-9,215,"December 31, 1952",us,R,"New Mexico, UC Santa Barbara"
1976,20,LAL,Donnie Freeman,SG,6-3,185,"July 18, 1944",us,8,Illinois
1976,25,LAL,Gail Goodrich,SG,6-1,170,"April 23, 1943",us,10,UCLA
1976,41,LAL,C.J. Kupec,SF,6-6,220,"January 26, 1953",us,R,Michigan
1976,23,LAL,Stu Lantz,PG,6-3,175,"July 13, 1946",us,7,Nebraska
1976,11,LAL,Jim McDaniels,C,6-11,228,"April 2, 1948",us,3,Western Kentucky
1976,21,LAL,Cliff Meely,PF,6-8,215,"July 10, 1947",us,4,Colorado
1976,12,LAL,Pat Riley,SG,6-4,205,"March 20, 1945",us,8,Kentucky
1976,15,LAL,John Roche,SG,6-3,170,"September 26, 1949",us,4,South Carolina
1976,32,LAL,Cazzie Russell,SF,6-5,218,"June 7, 1944",us,9,Michigan
1976,30,LAL,Cornell Warner,PF,6-9,220,"August 12, 1948",us,5,Jackson State University
1976,24,LAL,Kermit Washington,PF,6-8,230,"September 17, 1951",us,2,American University
1976,21,LAL,Walt Wesley,C,6-11,220,"January 25, 1945",us,9,Kansas
1976,15,LAL,Ron Williams,PG,6-3,188,"September 24, 1944",us,7,West Virginia
1976,2,MIL,Junior Bridgeman,SF,6-5,210,"September 17, 1953",us,R,Louisville
1976,25,MIL,Gary Brokaw,SG,6-4,178,"January 11, 1954",us,1,Notre Dame
1976,10,MIL,Bob Dandridge,SF,6-6,195,"November 15, 1947",us,6,Norfolk State
1976,20,MIL,Mickey Davis,SF,6-7,195,"June 16, 1950",us,4,Duquesne
1976,"31, 35",MIL,Jim Fox,C,6-10,230,"April 7, 1943",us,8,South Carolina
1976,34,MIL,Clyde Mayes,PF,6-8,225,"March 17, 1953",us,R,Furman University
1976,14,MIL,Jon McGlocklin,SG,6-5,205,"June 10, 1943",us,10,Indiana
1976,21,MIL,Dave Meyers,PF,6-8,215,"April 21, 1953",us,R,UCLA
1976,15,MIL,Jim Price,PG,6-3,195,"November 27, 1949",us,3,Louisville
1976,18,MIL,Kevin Restani,PF,6-9,225,"December 23, 1951",us,1,San Francisco
1976,3,MIL,Elmore Smith,C,7-0,250,"May 9, 1949",us,4,Kentucky State University
1976,32,MIL,Brian Winters,SG,6-4,185,"March 1, 1952",us,1,South Carolina
1976,25,NYK,Jim Barnett,SG,6-4,170,"July 7, 1944",us,9,Oregon
1976,9,NYK,Butch Beard,PG,6-3,185,"May 4, 1947",us,5,Louisville
1976,46,NYK,Dennis Bell,SF,6-5,185,"June 2, 1951",us,2,Drake University
1976,24,NYK,Bill Bradley,SF,6-5,205,"July 28, 1943",us,8,Princeton
1976,31,NYK,Mel Davis,PF,6-6,220,"November 9, 1950",us,2,St. John's
1976,44,NYK,Larry Fogle,SG,6-5,205,"March 19, 1953",us,R,Canisius
1976,10,NYK,Walt Frazier,PG,6-4,200,"March 29, 1945",us,8,Southern Illinois
1976,40,NYK,John Gianelli,C,6-10,220,"June 10, 1950",us,3,University of the Pacific
1976,42,NYK,Spencer Haywood,PF,6-8,225,"April 22, 1949",us,6,"Trinidad State Junior College, Detroit Mercy"
1976,18,NYK,Phil Jackson,PF,6-8,220,"September 17, 1945",us,7,University of North Dakota
1976,16,NYK,Ken Mayfield,SG,6-2,185,"May 11, 1948",us,R,Tuskegee University
1976,15,NYK,Earl Monroe,SG,6-3,185,"November 21, 1944",us,8,Winston-Salem State
1976,20,NYK,Gene Short,SF,6-6,200,"August 7, 1953",us,R,Jackson State University
1976,41,NYK,Neal Walk,C,6-10,220,"July 29, 1948",us,6,Florida
1976,43,NYK,Harthorne Wingo,PF,6-6,210,"September 9, 1947",us,3,Friendship Junior College
1976,44,PHI,Jerry Baskerville,SF,6-7,190,"November 10, 1951",us,R,Temple
1976,11,PHI,Freddie Boyd,PG,6-2,180,"June 13, 1950",us,3,Oregon State
1976,23,PHI,Joe Bryant,PF,6-9,185,"October 19, 1954",us,R,La Salle
1976,3,PHI,Fred Carter,PG,6-3,185,"February 14, 1945",us,6,Mount St. Mary's University
1976,42,PHI,Harvey Catchings,C,6-9,218,"September 2, 1951",us,1,Hardin-Simmons University
1976,20,PHI,Doug Collins,SG,6-6,180,"July 28, 1951",us,2,Illinois State
1976,32,PHI,Billy Cunningham,SF,6-6,210,"June 3, 1943",us,10,UNC
1976,53,PHI,Darryl Dawkins,C,6-11,251,"January 11, 1957",us,R,
1976,25,PHI,Leroy Ellis,C,6-10,210,"March 10, 1940",us,13,St. John's
1976,21,PHI,World B. Free,SG,6-2,185,"December 9, 1953",us,R,Guilford College
1976,24,PHI,Wali Jones,PG,6-2,180,"February 14, 1942",us,10,Villanova
1976,34,PHI,Clyde Lee,C,6-10,205,"March 14, 1944",us,9,Vanderbilt
1976,30,PHI,George McGinnis,PF,6-8,235,"August 12, 1950",us,4,Indiana
1976,50,PHI,Steve Mix,SF,6-7,215,"December 30, 1947",us,5,Toledo
1976,22,PHI,Connie Norman,SG,6-3,175,"September 24, 1953",us,1,Arizona
1976,33,PHO,Alvan Adams,C,6-9,210,"July 19, 1954",us,R,Oklahoma
1976,21,PHO,Dennis Awtrey,C,6-10,235,"February 22, 1948",us,5,Santa Clara
1976,40,PHO,Mike Bantom,SF,6-9,200,"December 3, 1951",us,2,Saint Joseph's
1976,14,PHO,Keith Erickson,SF,6-5,195,"April 19, 1944",us,10,UCLA
1976,32,PHO,Nate Hawthorne,SG,6-4,190,"January 15, 1950",us,2,Southern Illinois
1976,24,PHO,Gar Heard,PF,6-6,219,"May 3, 1948",us,5,Oklahoma
1976,10,PHO,Phil Lumpkin,PG,6-0,165,"December 20, 1951",us,1,Miami University
1976,18,PHO,Curtis Perry,PF,6-7,220,"September 13, 1948",us,5,Missouri State
1976,12,PHO,Pat Riley,SG,6-4,205,"March 20, 1945",us,8,Kentucky
1976,30,PHO,Fred Saunders,SF,6-7,210,"June 13, 1951",us,1,Syracuse
1976,34,PHO,John Shumate,PF,6-9,235,"April 6, 1952",us,R,Notre Dame
1976,"4, 40",PHO,Ricky Sobers,SG,6-3,198,"January 15, 1953",us,R,UNLV
1976,5,PHO,Dick Van Arsdale,SG,6-5,210,"February 22, 1943",us,10,Indiana
1976,44,PHO,Paul Westphal,PG,6-4,195,"November 30, 1950",us,3,USC
1976,25,PHO,John Wetzel,SG,6-5,190,"October 22, 1944",us,6,Virginia Tech
1976,33,POR,Dan Anderson,PG,6-2,185,"January 1, 1951",,1,USC
1976,40,POR,Barry Clemens,SF,6-6,210,"May 1, 1943",us,10,Ohio Wesleyan University
1976,30,POR,Bob Gross,SF,6-6,200,"August 3, 1953",us,R,"Seattle University, Cal State Long Beach"
1976,10,POR,Steve Hawes,C,6-9,220,"May 26, 1950",us,1,Washington
1976,14,POR,Lionel Hollins,PG,6-3,185,"October 19, 1953",us,R,Arizona State
1976,27,POR,John Johnson,SF,6-7,200,"October 18, 1947",us,5,Iowa
1976,23,POR,Steve Jones,SG,6-5,205,"October 17, 1942",us,8,Oregon
1976,42,POR,Greg Lee,PG,6-3,190,"December 12, 1951",us,1,UCLA
1976,35,POR,LaRue Martin,C,6-11,208,"March 30, 1950",us,3,Loyola Chicago
1976,36,POR,Lloyd Neal,PF,6-7,225,"December 10, 1950",us,3,Tennessee State
1976,45,POR,Geoff Petrie,SG,6-4,190,"April 17, 1948",us,5,Princeton
1976,4,POR,Greg Smith,SF,6-5,195,"January 28, 1947",us,7,Western Kentucky
1976,15,POR,Larry Steele,SG,6-5,180,"May 5, 1949",us,4,Kentucky
1976,32,POR,Bill Walton,C,6-11,210,"November 5, 1952",us,1,UCLA
1976,21,POR,Sidney Wicks,PF,6-8,225,"September 19, 1949",us,4,"Santa Monica College, UCLA"
1977,41,ATL,Tom Barker,C,6-11,225,"March 11, 1955",us,R,"Minnesota, College of Southern Idaho, Hawaii"
1977,50,ATL,John Brown,SF,6-7,220,"December 14, 1951",de,3,Missouri
1977,44,ATL,Ken Charles,SG,6-3,180,"July 10, 1951",tt,3,Fordham
1977,13,ATL,Ron Davis,SF,6-6,198,"May 1, 1954",us,R,Washington State
1977,34,ATL,Randy Denton,C,6-10,240,"February 18, 1949",us,5,Duke
1977,13,ATL,Henry Dickerson,PG,6-4,190,"November 27, 1951",us,1,University of Charleston
1977,22,ATL,John Drew,SF,6-6,205,"September 30, 1954",us,2,Gardner-Webb University
1977,10,ATL,Steve Hawes,PF,6-9,220,"May 26, 1950",us,2,Washington
1977,14,ATL,Tom Henderson,PG,6-3,190,"January 26, 1952",us,2,Hawaii
1977,24,ATL,Armond Hill,PG,6-4,190,"March 31, 1953",us,R,Princeton
1977,23,ATL,Lou Hudson,SG,6-5,210,"July 11, 1944",us,10,Minnesota
1977,25,ATL,Joe Meriweather,C,6-10,215,"October 26, 1953",us,1,Southern Illinois
1977,33,ATL,Truck Robinson,PF,6-7,225,"October 4, 1951",us,2,Tennessee State
1977,40,ATL,Mike Sojourner,PF,6-9,225,"October 16, 1953",us,2,Utah
1977,12,ATL,Claude Terry,SG,6-4,195,"January 12, 1950",us,4,Stanford
1977,32,ATL,Bill Willoughby,SF,6-8,205,"May 20, 1957",us,1,
1977,34,BOS,Jim Ard,C,6-8,215,"September 19, 1948",us,6,Cincinnati
1977,31,BOS,Tom Boswell,PF,6-9,220,"October 2, 1953",us,1,"South Carolina State, South Carolina"
1977,52,BOS,Norm Cook,SF,6-8,210,"March 21, 1955",us,R,Kansas
1977,18,BOS,Dave Cowens,C,6-9,230,"October 25, 1948",us,6,Florida State
1977,17,BOS,John Havlicek,SF,6-5,203,"April 8, 1940",us,14,Ohio State
1977,33,BOS,Steve Kuberski,SF,6-8,215,"November 6, 1947",us,7,Bradley
1977,41,BOS,Curtis Rowe,PF,6-7,225,"July 2, 1949",us,5,UCLA
1977,20,BOS,Fred Saunders,SF,6-7,210,"June 13, 1951",us,2,Syracuse
1977,11,BOS,Charlie Scott,SG,6-5,175,"December 15, 1948",us,6,UNC
1977,27,BOS,Kevin Stacom,SG,6-3,185,"September 4, 1951",us,2,"Holy Cross, Providence"
1977,10,BOS,Jo Jo White,PG,6-3,190,"November 16, 1946",us,7,Kansas
1977,12,BOS,Sidney Wicks,PF,6-8,225,"September 19, 1949",us,5,"Santa Monica College, UCLA"
1977,42,BOS,Bobby Wilson,SG,6-3,175,"January 15, 1951",us,2,Wichita State
1977,18,CHI,Tom Boerwinkle,C,7-0,265,"August 23, 1945",us,8,Tennessee
1977,41,CHI,Eric Fernsten,C,6-10,205,"November 1, 1953",us,1,San Francisco
1977,53,CHI,Artis Gilmore,C,7-2,240,"September 21, 1949",us,5,"Gardner-Webb University, Jacksonville University"
1977,33,CHI,Phil Hicks,SF,6-7,205,"January 31, 1953",us,R,Tulane
1977,12,CHI,Wilbur Holland,SG,6-0,175,"November 8, 1951",us,1,New Orleans
1977,8,CHI,Mickey Johnson,PF,6-10,190,"August 31, 1952",us,2,Aurora University
1977,44,CHI,Tom Kropp,SG,6-3,205,"February 12, 1953",us,1,University of Nebraska at Kearney
1977,31,CHI,John Laskowski,SG,6-6,185,"June 7, 1953",us,1,Indiana
1977,10,CHI,Bob Love,SF,6-8,215,"December 8, 1942",us,10,Southern University and A&M College
1977,24,CHI,Jack Marin,SF,6-7,200,"October 12, 1944",us,10,Duke
1977,17,CHI,Scott May,SF,6-7,215,"March 19, 1954",us,R,Indiana
1977,7,CHI,Paul McCracken,SG,6-4,180,"September 11, 1950",us,2,Cal State Northridge
1977,15,CHI,John Mengelt,SG,6-2,195,"October 16, 1949",us,5,Auburn
1977,42,CHI,Cliff Pondexter,PF,6-9,233,"September 15, 1954",us,1,Cal State Long Beach
1977,11,CHI,Willie Smith,PG,6-2,170,"October 26, 1953",us,R,Missouri
1977,30,CHI,Keith Starr,SG,6-6,190,"March 14, 1954",us,R,Pitt
1977,2,CHI,Norm Van Lier,PG,6-1,173,"April 1, 1947",us,7,Saint Francis University
1977,52,CLE,Jim Brewer,PF,6-9,210,"December 3, 1951",us,3,Minnesota
1977,25,CLE,Gary Brokaw,SG,6-4,178,"January 11, 1954",us,2,Notre Dame
1977,34,CLE,Austin Carr,SG,6-4,200,"March 10, 1948",us,5,Notre Dame
1977,22,CLE,Jim Chones,C,6-11,220,"November 30, 1949",us,4,Marquette
1977,35,CLE,Jim Cleamons,PG,6-3,185,"September 13, 1949",us,5,Ohio State
1977,23,CLE,Rowland Garrett,SF,6-6,210,"July 16, 1950",us,4,Florida State
1977,2,CLE,Mo Howard,SG,6-2,170,"August 25, 1954",us,R,Maryland
1977,24,CLE,John Lambert,PF,6-10,225,"January 14, 1953",us,1,USC
1977,20,CLE,Campy Russell,SF,6-8,215,"January 12, 1952",us,2,Michigan
1977,7,CLE,Bingo Smith,SF,6-5,195,"February 26, 1946",us,7,Tulsa
1977,3,CLE,Elmore Smith,C,7-0,250,"May 9, 1949",us,5,Kentucky State University
1977,10,CLE,Dick Snyder,SG,6-5,207,"February 1, 1944",us,10,Davidson
1977,42,CLE,Nate Thurmond,C,6-11,225,"July 25, 1941",us,13,Bowling Green
1977,14,CLE,Foots Walker,PG,6-0,184,"May 21, 1951",us,2,"Vincennes University, West Georgia"
1977,15,CLE,Chuckie Williams,SG,6-3,180,"December 31, 1953",us,R,Kansas State
1977,24,DET,Marvin Barnes,PF,6-8,210,"July 27, 1952",us,2,Providence
1977,20,DET,Roger Brown,C,6-11,225,"February 23, 1950",us,3,Kansas
1977,30,DET,M.L. Carr,SF,6-6,205,"January 9, 1951",us,1,Guilford College
1977,45,DET,Cornelius Cash,PF,6-8,215,"March 3, 1952",us,R,Bowling Green
1977,13,DET,Leon Douglas,C,6-10,230,"August 26, 1954",us,R,Alabama
1977,44,DET,Al Eberhard,SF,6-6,225,"May 10, 1952",us,2,Missouri
1977,42,DET,Chris Ford,SG,6-5,190,"January 11, 1949",us,4,Villanova
1977,16,DET,Bob Lanier,C,6-11,250,"September 10, 1948",us,6,St. Bonaventure
1977,14,DET,Eric Money,PG,6-0,170,"February 6, 1955",us,2,Arizona
1977,54,DET,Howard Porter,PF,6-8,220,"August 31, 1948",us,5,Villanova
1977,1,DET,Kevin Porter,PG,6-0,170,"April 17, 1950",us,4,Saint Francis University
1977,11,DET,Phil Sellers,SG,6-4,195,"November 20, 1953",us,R,Rutgers University
1977,"10, 32",DET,Ralph Simpson,SG,6-5,200,"August 10, 1949",us,6,Michigan State
1977,31,DET,George Trapp,PF,6-8,205,"July 11, 1948",us,5,Cal State Long Beach
1977,24,GSW,Rick Barry,SF,6-7,205,"March 28, 1944",us,10,Miami (FL)
1977,42,GSW,Dwight Davis,PF,6-8,220,"October 28, 1949",us,4,Houston
1977,40,GSW,Derrek Dickey,PF,6-7,218,"March 20, 1951",us,3,Cincinnati
1977,15,GSW,Charles Dudley,PG,6-2,180,"March 5, 1950",us,3,Washington
1977,10,GSW,Charles Johnson,PG,6-0,170,"March 31, 1949",us,4,California
1977,52,GSW,George Johnson,C,6-11,205,"December 18, 1948",us,4,Dillard University
1977,43,GSW,Larry McNeill,PF,6-9,195,"January 31, 1951",us,3,Marquette
1977,0,GSW,Robert Parish,C,7-1,230,"August 30, 1953",us,R,Centenary (LA)
1977,22,GSW,Sonny Parker,SF,6-6,200,"March 22, 1955",us,R,Texas A&M
1977,44,GSW,Clifford Ray,C,6-9,230,"January 21, 1949",us,5,Oklahoma
1977,11,GSW,Marshall Rogers,PG,6-1,190,"August 27, 1953",us,R,University of Texas Rio Grande Valley
1977,20,GSW,Phil Smith,SG,6-4,185,"April 22, 1952",us,2,San Francisco
1977,41,GSW,Jamaal Wilkes,PF,6-6,190,"May 2, 1953",us,2,UCLA
1977,1,GSW,Gus Williams,PG,6-2,175,"October 10, 1953",us,1,USC
1977,33,HOU,Phil Hicks,SF,6-7,205,"January 31, 1953",us,R,Tulane
1977,27,HOU,John Johnson,SF,6-7,200,"October 18, 1947",us,6,Iowa
1977,13,HOU,Dwight Jones,PF,6-10,210,"February 27, 1952",us,3,Houston
1977,30,HOU,Goo Kennedy,SF,6-5,205,"August 23, 1949",us,5,"Fort Worth Community College, TCU"
1977,44,HOU,Kevin Kunnert,C,7-0,230,"November 11, 1951",us,3,Iowa
1977,15,HOU,John Lucas,SG,6-3,175,"October 31, 1953",us,R,Maryland
1977,21,HOU,Moses Malone,C,6-10,215,"March 23, 1955",us,2,
1977,23,HOU,Calvin Murphy,PG,5-9,165,"May 9, 1948",us,6,Niagara University
1977,14,HOU,Mike Newlin,SG,6-4,200,"January 2, 1949",us,5,Utah
1977,25,HOU,Tom Owens,C,6-10,215,"June 28, 1949",us,5,South Carolina
1977,42,HOU,Ed Ratleff,SF,6-6,195,"March 29, 1950",us,3,Cal State Long Beach
1977,45,HOU,Rudy Tomjanovich,PF,6-8,218,"November 24, 1948",us,6,Michigan
1977,32,HOU,Rudy White,SG,6-2,195,"June 23, 1953",us,1,Arizona State
1977,11,HOU,Dave Wohl,PG,6-2,185,"November 2, 1949",us,5,Penn
1977,33,LAL,Kareem Abdul-Jabbar,C,7-2,225,"April 16, 1947",us,7,UCLA
1977,5,LAL,Tom Abernethy,SF,6-7,220,"May 6, 1954",us,R,Indiana
1977,42,LAL,Lucius Allen,PG,6-2,175,"September 26, 1947",us,7,UCLA
1977,21,LAL,Mack Calvin,PG,6-0,165,"July 27, 1947",us,7,"Long Beach City College, USC"
1977,12,LAL,Don Chaney,SG,6-5,210,"March 22, 1946",us,8,Houston
1977,35,LAL,Don Ford,PF,6-9,215,"December 31, 1952",us,1,"New Mexico, UC Santa Barbara"
1977,41,LAL,C.J. Kupec,SF,6-6,220,"January 26, 1953",us,1,Michigan
1977,11,LAL,Bo Lamar,PG,6-1,180,"April 7, 1951",us,3,Louisiana
1977,20,LAL,Allen Murphy,SG,6-5,190,"July 15, 1952",us,1,Louisville
1977,21,LAL,Johnny Neumann,SG,6-6,200,"September 11, 1951",us,5,Ole Miss
1977,30,LAL,Marv Roberts,SF,6-8,200,"January 29, 1950",us,5,Utah State University
1977,32,LAL,Cazzie Russell,SF,6-5,218,"June 7, 1944",us,10,Michigan
1977,43,LAL,Earl Tatum,SG,6-5,185,"July 26, 1953",us,R,Marquette
1977,"20, 30",LAL,Cornell Warner,PF,6-9,220,"August 12, 1948",us,6,Jackson State University
1977,24,LAL,Kermit Washington,PF,6-8,230,"September 17, 1951",us,3,American University
1977,2,MIL,Junior Bridgeman,SF,6-5,210,"September 17, 1953",us,1,Louisville
1977,25,MIL,Gary Brokaw,SG,6-4,178,"January 11, 1954",us,2,Notre Dame
